date,text,verdict
August 10 2016,"Undocumented immigrants ""pay $12 billion a year into Social Security.""",2
August 1 2016,"Says, regarding the presence of classified information in her email, FBI Director James ""Comey said my answers were truthful, and what I've said is consistent with what I have told the American people.""",5
August 1 2016,"Says Donald Trump ""doesn't make a thing in America.""",4
July 29 2016,"""More than 90 percent of the gains have gone to the top 1 percent."" ",2
July 29 2016,"Says Donald Trump ""claimed our armed forces are 'a disaster.'""",1
July 29 2016,"""We put a lid on Iran's nuclear program without firing a single shot.""",1
July 29 2016,"Says Trump ties are made ""in China, not Colorado. Trump suits in Mexico, not Michigan. Trump furniture in Turkey, not Ohio. Trump picture frames in India, not Wisconsin.""",1
July 29 2016,"""Our economy is so much stronger than when (Barack Obama and Joe Biden) took office. Nearly 15 million new private-sector jobs.""",2
July 28 2016,"After the shootings of Dallas policemen, ""nearly 500 people applied in just 12 days.""",0
July 28 2016,"Says Donald Trump said at the Republican convention, ""I alone can fix it.""",1
July 27 2016,"""Immigrants start businesses at a faster rate; they seem to grow those businesses more successfully.""  ",1
July 27 2016,"Says when an interviewer asked Donald Trump if he treats women with respect, Trump replied, ""I can't say that.""",3
July 24 2016,"Says unlike Tim Kaine, who ""invested"" in education, Indiana Gov. Mike Pence ""slashed education funding.""",4
July 23 2016,"""I am the only candidate who ran in either primary who said, ‘I will not raise taxes on the middle class.’""",5
July 13 2016,"""Independent analysts say (Donald Trump) would add $30 trillion to the national debt.""",2
July 8 2016,"Says Donald Trump ""wants to get rid of the federal minimum wage.""",0
July 6 2016,"Says she ""never received nor sent any material that was marked classified"" on her private email server while secretary of state.",4
July 1 2016,"""Cincinnati is already one of the biggest cities in the country to run 100 percent on clean energy.""",2
July 1 2016,"Says Donald Trump’s proposed tax treatment of hedge fund managers ""makes the current loophole even worse.""",0
June 28 2016,"""Thanks to (North Carolina’s) governor and the legislature, the average teacher salary can barely support a family.""",3
June 28 2016,"After Britain’s vote to leave the European Union, ""within 24 hours, Americans lost $100 billion from our 401(k)s.""",1
June 27 2016,"""Risk analysts listed Donald Trump, a Donald Trump presidency, as one of the top threats facing the global economy, ahead of terrorism.""",0
June 24 2016,"Says Mark Zandi, who wrote a report criticizing Donald Trump’s economic proposals, is ""one of Sen. John McCain's former economic advisers.""",2
June 24 2016,"Says Donald Trump called pregnant employees ""an inconvenience.""",0
June 24 2016,"As a result of Roe vs. Wade, ""America’s maternal mortality rate dropped dramatically.""",1
June 21 2016,"Says Donald Trump has ""bankrupted his companies not once, not twice but four times.""",1
June 15 2016,"""Nine million people have lower-cost HIV/AIDS medicine because of the work of the Clinton Foundation and my husband."" ",0
June 14 2016,"""Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.""",1
June 13 2016,"""Florida doesn't regulate assault weapons or .50 caliber rifles or large-capacity ammunition magazines. It doesn't require a permit to purchase a gun. It doesn't require any registration, whatsoever.""",1
June 8 2016,"""It is a fact that the economy does better when we have a Democrat in the White House.""",2
June 6 2016,"""A trade war is something very different (than curbing new trade agreements). We went down that road in the 1930s. It made the Great Depression longer and more painful.""",0
June 6 2016,"Says Donald Trump said the U.S. should ""encourage"" Japan to get nuclear weapons.",1
June 3 2016,"Says Donald Trump ""has the gall to say that prisoners of war like John McCain aren’t heroes.""",2
June 3 2016,"Says Donald Trump ""says he has foreign policy experience because he ran the Miss Universe pageant in Russia.""",2
June 3 2016,"Says ""Donald Trump says climate change is a hoax invented by the Chinese.""",1
May 31 2016,"""It was allowed,"" referring to her email practices.",4
May 26 2016,"""In 2006, Donald Trump was hoping for a real estate crash.""",1
May 24 2016,"""The only two (Donald Trump tax returns) we have show that he hasn't paid a penny in taxes.""",3
May 22 2016,"""Let me say that I don't think (Bernie Sanders has) had a single negative ad ever run against him."" ",4
May 22 2016,"""When I was secretary of state, I had a very high approval rating.""",0
May 20 2016,"""We now do have evidence"" that Donald Trump is being used as a recruiting tool for terrorists.",0
May 20 2016,"""We just had the best year for the auto industry in America in history.""",1
May 10 2016,"""The market is making this decision. The market has driven down the cost of coal, so you have companies going bankrupt.""",1
May 5 2016,"Says Donald Trump promised to repeal Obamacare, build a wall, ban Muslims, and more.",1
April 26 2016,"Marijuana is a Schedule I drug, ""which you understand means that you can’t do any research about it.""",3
April 24 2016,"""She is the only candidate who has stood by our community and immigration reform from the beginning."" ",3
April 21 2016,"""When I withdrew in June of 2008, polls were showing that at least 40 percent of my supporters said, oh, they weren't going to support Sen. Obama.""",1
April 15 2016,"About ""1 percent of all the gun sellers are responsible for more than half of the guns that are used in crimes.""",2
April 15 2016,"In nine Democratic debates, ""We've not had one question about a woman's right to make her own decisions about reproductive health care, not one question."" ",0
April 15 2016,"The Republicans ""still want to privatize (Social Security). In fact, their whole idea is to turn over the Social Security trust fund to Wall Street.""",3
April 14 2016,"Says Bernie Sanders ""has been largely a very reliable supporter of the NRA.""",3
April 14 2016,"""We have tougher standards holding toy gun manufacturers and sellers to account than we do for real guns.""",2
April 12 2016,"""The state that has the highest per capita number of … guns that end up committing crimes in New York come from Vermont.""",2
April 8 2016,"Says Bernie Sanders ""wants higher standards for toy guns than real guns.""",2
April 6 2016,"""The economy always does better when there’s a Democrat in the White House.""",2
April 6 2016,"When mentioning Villanova’s buzzer-beating win in the national championships, Hillary Clinton said: ""I love those come-from-behind victories.""",3
April 5 2016,"""I have 2 and a half million more votes than he (Sanders) does.""",1
April 3 2016,"""I have now put out all of my emails.""",2
April 3 2016,"""I'm the only candidate in the Democratic primary, or actually on either side, who Wall Street financiers and hedge fund managers are actually running ads against.""",5
April 1 2016,"Says Donald Trump ""wants us to pull out of NATO.""",3
March 30 2016,"When it comes to fighting terrorism, ""Another thing we know that does not work, based on lots of empirical evidence, is torture.""",0
March 29 2016,"""It’s actually easier for the United States to get flight manifests from E.U. nations than it is for E.U. nations to get them from their own neighbors, thanks to an agreement the U.S. negotiated when I was secretary of state.""",1
March 25 2016,"Congress will begin its recess ""without having allocated one penny"" to fight Zika.",1
March 21 2016,"""Our campaign depends on small donations for the majority of our support.""",3
March 17 2016,"""Arizona schools rank 45th in the nation, dead last in funding per student.""",1
March 15 2016,"""Gun violence is by far the leading cause of death for young African American men, outstripping the next nine causes of death combined.""",0
March 11 2016,"""Americans haven’t had a raise in 15 years.""",1
March 10 2016,"In 2006, Bernie Sanders ""voted in the House with hard-line Republicans for indefinite detention for undocumented immigrants, and then he sided with those Republicans to stand with vigilantes known as Minutemen who were taking up outposts along the border to hunt down immigrants.""",1
March 10 2016,"""The Clean Power Plan is something that Sen. Sanders has said he would delay implementing.""",4
March 9 2016,"Regarding her State Department email practices, ""my predecessors did the same thing.""",3
March 9 2016,"""When the auto industry was going under, car parts companies like"" Johnson Controls ""begged taxpayers for a bailout, and they got one."" ",2
March 7 2016,"Says Bernie Sanders ""was against the auto bailout"" and ""voted against the money that ended up saving the auto industry.""",2
March 7 2016,"""We have a higher rate of tested lead in people in Cleveland than in Flint.""",1
March 7 2016,"""President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.""",1
February 26 2016,"""You are three times more likely to be able to get a mortgage if you're a white applicant than if you're black or Hispanic, even if you have the same credentials.""",4
February 26 2016,"""African-Americans are more likely to be arrested by police and sentenced to longer prison terms for doing the same thing that whites do.""",0
February 18 2016,"Says Dontre Hamilton, who was killed during a confrontation with a Milwaukee police officer, was ""unarmed.""",1
February 17 2016,"Says Hillary Clinton won ""health care for 8 million children.""",1
February 17 2016,"Says she will ""work to raise the federal minimum wage back to the highest level it’s ever been — $12 an hour in today’s dollars.""",2
February 12 2016,"""On average it takes 300 Americans working for a solid year to make as much money as one top CEO.""",1
February 12 2016,"Says Sen. Bernie Sanders has called President Barack Obama ""weak. He's called him a disappointment.""",2
February 11 2016,"""Americans haven’t had a raise in 15 years.""",1
February 11 2016,"""We bailed out"" Johnson Controls when ""we saved the auto industry"" and ""now they want to avoid paying taxes.""",1
February 7 2016,"""There really isn’t any kind of foreign policy network that is supporting and advising Sen. Sanders.""",1
February 5 2016,"""I waited until (the Trans-Pacific Partnership trade agreement) had actually been negotiated"" before deciding whether to endorse it.",2
February 5 2016,"Says Bernie Sanders advocated putting ""Iranian troops into Syria to try and resolve the conflict there. Putting them right on the doorstep of Israel."" ",1
February 1 2016,"When terrorists killed more than 250 Americans in Lebanon under Ronald Reagan, ""the Democrats didn’t make that a partisan issue.""",2
January 29 2016,"""We now have more jobs in solar than we do in oil.""",4
January 27 2016,"""I am the only candidate on either side who has laid out a specific plan about what I would do to defeat ISIS.""",4
January 25 2016,"Says Cresent Hardy agreed with Mitt Romney ""about the 47 percent"" and said that ""people with disabilities are, and I quote him, ‘a drain on society.’ """,2
January 20 2016,"""Every piece of legislation, just about, that I ever introduced (in the U.S. Senate) had a Republican co-sponsor."" ",4
January 18 2016,"""We now have driven (health care) costs down to the lowest they've been in 50 years.""",4
January 17 2016,"Says Bernie Sanders ""voted for what we call the 'Charleston Loophole.'""",1
January 17 2016,"Says Bernie Sanders ""has reversed his position on immunity"" for gun manufacturers and sellers.",0
January 7 2016,"""Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.""",1
December 22 2015,"Says Bernie Sanders ""voted for regime change with respect to Libya."" ",1
December 19 2015,"ISIS is ""going to people showing videos of Donald Trump insulting Islam and Muslims in order to recruit more radical jihadists.""",4
December 6 2015,"The Charleston, S.C., shooter ""should have never been given a gun, but the universal background check was not fast enough.""",1
December 2 2015,"""Ted Cruz tried to ban contraception"" five times.",3
November 23 2015,"""The Libyan people have voted twice in free and fair elections for the kind of leadership they want.""",2
November 23 2015,"""I spent 18 months putting together the sanctions against Iran so that we could force them to the negotiating table.""",1
November 17 2015,"""Since we last debated in Las Vegas, nearly 3,000 people have been killed by guns.""",2
November 14 2015,"""Wages adjusted for inflation haven’t risen since the turn of the last century.""",2
November 13 2015,"""Women fill two-thirds of minimum wage jobs.""",1
October 23 2015,"Says John Kerry ""is the first secretary of state to rely primarily on a government account."" ",1
October 21 2015,"""We lose an average of 90 Americans every day because of guns.""",1
October 16 2015,"The gun industry is ""the only business in America that is wholly protected from any kind of liability.""",4
October 14 2015,"Says Edward Snowden ""could have gotten all of the protections of being a whistleblower."" ",3
October 14 2015,On the Keystone XL pipeline,0
October 13 2015,"Says as secretary of state she was reserving judgment about the Trans-Pacific Partnership and ""hoped it would be the gold standard.""",2
October 13 2015,"""Sen. Sanders did vote five times against the Brady bill.""",0
October 12 2015,"""There have been seven investigations (of Benghazi) led mostly by Republicans in the Congress"" that concluded ""nobody did anything wrong, but there were changes we could make.""",1
October 8 2015,"""While 38 percent of (firearms) dealers that were inspected in 2011 were noncompliant with federal law, only 0.05 percent of inspected dealers had their licenses revoked.""",1
October 8 2015,On the Trans-Pacific Partnership.,4
October 2 2015,"The Benghazi probe is ""the longest-running congressional investigation ever.""",4
September 22 2015,"""Under Republicans, recessions happen four times as frequently as under Democrats."" ",1
September 9 2015,"Says Scott Walker rejected legislation to make college loan payments tax deductible and the result was ""to raise taxes on students.""",4
September 4 2015,"""Twenty-three million Americans suffer from addiction, but only 1 in 10 get treatment.""",1
August 28 2015,"""How do Jeb Bush and Donald Trump differ on immigration? Spoiler alert: They don't."" ",3
August 26 2015,"""Not one of the 17 GOP candidates has discussed how they'd address the rising cost of college.""",4
August 20 2015,"""If I had not asked for my emails all to be made public, none of this would have been in the public arena.""",3
August 14 2015,"""F: The grade given to Florida for college affordability under Jeb Bush's leadership.""",2
August 11 2015,"""African-American children are 500 percent more likely to die from asthma than white kids.""",0
August 7 2015,"Says Scott Walker's defunding of Planned Parenthood ""left women across the state stranded with nowhere else to turn"" for cancer screenings, breast exams and birth control.",2
August 4 2015,"""The stock market does better when you have a Democratic president in the White House.""",1
August 3 2015,On the Cuba embargo. ,4
July 16 2015,"""Sen. Rubio’s (tax plan) would cut taxes for households making around $3 million a year by almost $240,000, which is way more than three times the earnings of a typical family.""",1
July 15 2015,"Despite keeping distance from national media interviewers, ""I did local press all along, the last three months.""",3
July 15 2015,"Says she ""called for addressing risks of derivatives, cracking down on subprime mortgages and improving financial oversight"" early on in the financial crisis.",0
July 8 2015,"Says Jeb Bush ""doesn't believe in a path to citizenship. If he did at one time, he no longer does."" ",1
June 26 2015,"""If you want to vote in"" Texas, ""you can use a concealed-weapon permit as a valid form of identification, but a valid student ID isn’t good enough.""",0
June 25 2015,"American schools are ""more segregated than they were in the 1960s.""",1
June 17 2015,On same-sex marriage.,4
June 15 2015,"""The top 25 hedge fund managers (are) making more than all of America's kindergarten teachers combined.""",0
June 9 2015,"Says Scott Walker ""cut back early voting and signed legislation that would make it harder for college students to vote.""",1
June 9 2015,"""In Florida, when Jeb Bush was governor, state authorities conducted a deeply flawed purge of voters before the presidential election in 2000"" and ""in 2004 a plan to purge even more voters was headed off.""",1
June 9 2015,"""Former Gov. Rick Perry signed a law that a federal court said was actually written with the purpose of discriminating against minority voters.""",1
June 9 2015,"""In New Jersey, Gov. Christie vetoed legislation to extend early voting.""",1
May 20 2015,"Hedge fund managers ""pay less in taxes than nurses and truck drivers.""",4
May 7 2015,"""Not a single Republican candidate, announced or potential, is clearly and consistently supporting a path to citizenship. Not one.""",3
May 5 2015,"""The United States is 65th out of 142 nations and other territories on equal pay.""",2
April 21 2015,"""The United States invented the community college. Nobody else had ever done anything like it.""",1
April 16 2015,"Says ""all my grandparents"" immigrated to America.",4
March 3 2015,"""You had more women getting computer sciences degrees in the '80s by a factor of 2-plus than you do now.""",1
July 21 2014,"The number of jobs created and people lifted out of poverty during Bill Clinton’s presidency was ""a hundred times"" what it was under President Ronald Reagan.",4
July 3 2014,"""A salesclerk at Hobby Lobby who needs contraception … is not going to get that service through her employer’s health care plan because her employer doesn’t think she should be using contraception.""",3
June 20 2014,"""By 2006, the American people were overwhelmingly against the Iraq War.""",1
June 12 2014,"""The U.S. military footprint in Africa is nearly nonexistent.""",0
June 11 2014,"""In Iran in 1979, the extremists hijacked the broad-based popular revolution against the Shah and established a brutal theocracy.""",1
June 11 2014,"By 2009, ""dozens of senior terrorists had been taken off the battlefield"" by drones.",0
June 10 2014,"""We came out of the White House not only dead broke, but in debt.""",3
June 10 2014,"""By the time I left"" the State Department, ""economic growth was up and opium production was down"" in Afghanistan, while ""infant mortality declined"" and school enrollment rose by more than sevenfold.",1
May 20 2014,"""Canadian middle class incomes are now higher than in the United States. They are working fewer hours for more pay, … living longer on average, and facing less income inequality.""",1
May 7 2014,"""A small majority of Americans don’t think they like the Affordable Care Act, but a large majority of Americans don’t want to do away with the protections that are in the Affordable Care Act.""",1
April 13 2010,"""I don't answer hypotheticals.""",2
March 2 2010,"In 2001, former Federal Reserve chairman Alan Greenspan ""justified increasing spending and cutting taxes, saying that we didn't really need to pay down the debt.""",3
August 27 2008,"McCain ""still thinks it's okay when women don't earn equal pay for equal work.""",4
August 26 2008,"""John McCain wants to privatize Social Security.""",3
June 3 2008,"""We are winning the popular vote.""",3
May 26 2008,"It doesn't make sense ""historically"" to drop out because the 1968 race was still competitive when ""Bobby Kennedy was assassinated in June in California.""",3
May 16 2008,"""The White House is won in the swing states, and I am winning the swing states.""",3
May 15 2008,"""If West Virginia had voted for our Democratic nominee in 2000 and 2004, we wouldn't have had to put up with George Bush for the last 7 years.""",2
May 12 2008,"""We borrow money from the Chinese to buy oil from the Saudis.""",1
May 6 2008,"""If you are driving on average in America this summer, you'll save — according to Department of Energy figures — about $70.""",4
May 6 2008,"There are prototype cars that get between 100 and 150 miles per gallon and ""we could have those cars in your garages in a couple of years.""",3
May 2 2008,"Tax rates were significantly higher ""in the '40s, the '50s, and the '60s.""",0
May 2 2008,"Every family health insurance policy has ""a $900 hidden tax"" to subsidize health care costs of the uninsured.",0
May 1 2008,"""A year ago, in March 2007, I called for immediate action to address abuses in the subprime market, and I laid out detailed concrete proposals for how to do so."" ",0
May 1 2008,"Hillary Clinton advocates ""a freeze on foreclosures. Barack Obama said no.""",0
April 21 2008,"Barack Obama's health care plan ""will cost taxpayers $1,700 more to cover each new person.""",3
April 17 2008,"""Barack Obama accepted $200,000 from executives and employees of oil companies.""",0
April 17 2008,"""Obama voted for the Bush-Cheney energy bill that put $6-billion in the pocket of big oil.""",2
April 17 2008,"""More than one person, on average, a day is murdered in Philadelphia.""",2
April 16 2008,"Obama served on a board with former Weather Underground member William Ayers and ""that relationship with Mr. Ayers on this board continued after 9/11.""",0
April 16 2008,Says she is the subject of 60 books.,0
April 16 2008,"""Again today (Ahmadinejad) made light of 9/11, and said that he's not even sure it happened and that people actually died.""",0
April 9 2008,"""My husband didn't wrap up the nomination until June."" ",3
April 8 2008,"""I did very well with young people in Ohio, Massachusetts, California.""",2
April 7 2008,"""I actually started criticizing the war in Iraq before (Obama) did.""",4
April 4 2008,"As first lady, Clinton would travel to places that were ""too small, too poor or too dangerous"" for the president.",3
April 2 2008,"McCain's ""plan for the economy is to extend George Bush's tax cuts for billionaires and give a $100-billion additional corporate tax cut.""",2
March 25 2008,"""I remember landing under sniper fire.""",5
March 12 2008,"Obama voted for ""tax subsidies and giveways"" that have slowed oil companies from pursuing clean energy sources.",3
March 11 2008,"""I've been standing up against ... the Chinese government over women's rights and standing up for human rights."" ",2
March 10 2008,"""I helped to bring peace to Northern Ireland.""",2
March 10 2008,"""I negotiated open borders to let fleeing refugees into safety from Kosovo.""",3
February 29 2008,"Obama ""only wants your children to have health insurance.""",4
February 27 2008,"""He (Obama) chairs the subcommittee on Europe. ... He's held not one substantive hearing to do oversight.""",0
February 27 2008,"Obama ""basically threatened to bomb Pakistan.""",5
February 27 2008,"Barack Obama said in 2004 ""that he basically agreed with the way George Bush was conducting the war.""",2
February 27 2008,"""Could I just point out that ... I seem to get the first question all the time?""",0
February 26 2008,"""I want to freeze interest rates for five years.""",2
February 19 2008,"""I have 35 years' experience making change.""",1
February 19 2008,"Says the difference between her and Barack Obama is ""about 35 years of experience.""",4
February 13 2008,"""I have something in common with my husband. He never carried caucuses either. He lost all of the ones that I've lost.""",1
February 13 2008,"""On issue after issue that really were hard to explain or understand, you voted present . . . And anytime anyone raises that, there's always some kind of explanation.""",2
February 13 2008,"Hillary Clinton ""has the only health care plan that covers every American.""",0
February 12 2008,"""Senator Obama has, in fact, never had a serious Republican challenger.""",0
February 6 2008,"In the Illinois Legislature, Barack Obama ""voted 'present,' instead of yes or no"" on seven votes involving abortion rights.",0
February 4 2008,"""George Bush sent people to war without body armor.""",1
January 22 2008,"""I was fighting against those (Republican) ideas when you were practicing law and representing your contributor, Rezko, in his slum landlord business in inner city Chicago.""",3
January 21 2008,"The Bush administration has ""the Pentagon trying to take away the signing bonuses when a soldier gets wounded and ends up in the hospital, something that I'm working with a Republican senator to try to make sure never can happen again.""",2
January 18 2008,"""Barack (Obama) has one of his biggest supporters in terms of funding, the Exelon Corporation, which has spent millions of dollars trying to make Yucca Mountain the waste depository.""",1
January 16 2008,"""You know, Sen. McCain said the other day that we might have troops (in Iraq) for 100 years...""",0
January 16 2008,"""So that 2005 energy bill was a big step backwards on the path to clean, renewable energy. That's why I voted against it.""",4
January 6 2008,"""Sen. Obama's chair in New Hampshire is a lobbyist. He lobbies for the drug companies.""",0
January 6 2008,"""You said you would vote against the Patriot Act, then you came to the Senate, you voted for it.""",2
January 6 2008,"""There are 7,000 kids in New Hampshire who have health care because I helped to create the Children's Health Insurance Program.""",0
January 2 2008,"""Average families are spending roughly $2,000 more a year on energy costs. ... It's like a $2,000 energy tax in just the last seven years, more than three times what the typical American family received from the Bush tax cuts.""",2
December 19 2007,"""I can't sign money. That's illegal.""",3
December 18 2007,"""The estate tax, which came into being by Republicans like Teddy Roosevelt and others ... is there for a real simple reason: In America, we've never liked the idea of massive inherited wealth.""",3
December 17 2007,"""George Bush ... used a signing statement (on a FEMA bill) to say, 'I don't have to follow that, unless I choose to.' """,0
December 15 2007,"""Thanks to President Bush's policies....The income gap is now higher than at any time since the Great Depression.""",2
December 15 2007,"""Productivity has risen 18 percent ...yet wages have stayed flat... There are 5-million more people in poverty here in our country than there were in 2000.""",0
December 10 2007,"""A ham and cheese sandwich on one slice of bread is the responsibility of the USDA ... But a ham and cheese sandwich on two slices of bread is the responsibility of the Food and Drug Administration.""",0
December 6 2007,"""Senator Obama's relatives and friends say he has been talking about running for president for at least the last 15 years,"" a campaign spokesman said.",0
December 3 2007,"Barack Obama's health care plan ""would leave 15-million Americans out.""",2
November 26 2007,"Barack Obama's health care plan ""would leave 15 million Americans out.""",2
November 20 2007,"""Americans spend 100-million hours a year filling out these forms (FAFSA). That is the equivalent of 55,500 full-time jobs.""",2
November 15 2007,"""When Sen. Edwards ran in 2004, he wasn't for universal health care. I'm glad he is now.""",0
November 10 2007,"""All of the records, as far as I know, about what we did with health care, those are already available."" ",3
November 10 2007,"""My husband has not withheld a single document.""",2
November 2 2007,"""It's just outrageous that under President Bush, the National Institutes of Health have been basically decreased in funding."" ",4
November 1 2007,"""The Alternative Minimum Tax was never intended to hit people in middle income, upper middle income. It was meant for people who are rich and evading taxes.""",0
October 29 2007,"Sen. Obama ""made the very argument he is now criticizing back in November 2006.""",2
October 19 2007," Nearly half of Hispanic voters in Arizona's last election supported four measures that were ""very tough on illegal immigration.""",0
October 11 2007,"""She stood by our National Guard and Reserve and kept standing till they received health care they deserved.""",1
October 9 2007,"""She stood by ground zero workers who sacrificed their health after so many sacrificed their lives and kept standing till this administration took action.""",0
October 8 2007,"""Hillary stood up for universal health care when almost no one else would, and kept standing till 6-million kids had coverage.""",2
